Beam, a, b, c
Beam1, 617352.9804, 1.3614, -735827.4282
Beam2, 555575.1558, 1.5689, -678519.6771
Beam3, 976435.3875, 1.5684, -1169674.2929
Beam4, 1189758.0456, 1.3521, -1343906.0294
Beam5, 352444.6986, 1.5459, -391474.6518
Beam6, 1206449.8240, 1.3286, -1364878.7152
Beam7, 1343482.3094, 1.5867, -1530533.4829
Beam8, 1630383.8867, 1.7728, -1815832.2985
Beam9, 1262554.0395, 1.7118, -1437560.4282
Beam10, 708253.4918, 1.6261, -814831.2005
Beam11, 702631.1826, 1.7048, -923773.3659
Beam12, 1550198.8133, 1.4696, -1785827.3706
Beam13, 830790.0429, 1.4141, -779891.1259
Beam14, 801616.4326, 1.7457, -932108.9604
Beam15, 1248851.2274, 1.4947, -1455913.7360
Beam16, 672022.2384, 1.3691, -863258.9565
Beam17, 1183051.2140, 1.6351, -1391563.5702
Beam18, 1258190.1236, 1.5885, -1482797.3486
Beam19, 1474334.8628, 1.4810, -1784792.4849
Beam20, 657309.8595, 1.7490, -784539.9755
Beam21, 567955.7792, 1.3974, -713224.9609
Beam22, 1211383.6760, 1.4116, -1465517.9010
Beam23, 1520425.8544, 1.5090, -1915341.8492
Beam24, 534447.4657, 1.5900, -595783.6347
Beam25, 371774.1140, 1.7537, -431792.8228
